## ECMWF param code , ECMWF short name , ECMWF long name [units] , short name (following CMIP5 if possible) , CF standard_name , CF cell_methods,
220,VV,Variance of v component [m2 s-2],vv,,,
221,COZ,Covariance of omega/geopotential [m2 Pa s-3],coz,,,
222,COT,Covariance of omega/temperature [Pa s-1 K],cot,,,
223,COQ,Covariance of omega/specific humidity [Pa s-1],coq,,,
224,COU,Covariance of omega/u component [m Pa s-2],cou,,,
225,COV,Covariance of omega/v component [m Pa s-2],cov,,,
226,VO,Variance of omega [Pa2 s-2],vo,,,
227,VSP,Variance of surface pressure [Pa2],vsp,,,
229,VRH,Variance of relative humidity [1],vrh,,,
230,CUO3,Covariance of u component/ozone [m s-1],cuo3,,,
231,CVO3,Covariance of v component/ozone [m s-1],cvo3,,,
232,COO3,Covariance of omega/ozone [Pa s-1],coo3,,,
233,VO3,Variance of ozone [1],vo3,,,
